Rating,Label,Date,Time,Timestamp
happy,Great,2026-09-02,14:04:32,2026-09-02T12:04:32.103Z
happy,Great,2026-09-02,14:22:36,2026-09-02T12:22:36.704Z
happy,Great,2026-09-02,14:29:16,2026-09-02T12:29:16.886Z
happy,Great,2026-09-02,14:29:18,2026-09-02T12:29:18.068Z
happy,Great,2026-09-02,14:40:15,2026-09-02T12:40:15.907Z
happy,Great,2026-09-02,14:51:16,2026-09-02T12:51:16.747Z
happy,Great,2026-09-02,14:51:26,2026-09-02T12:51:26.229Z
happy,Great,2026-09-02,14:51:27,2026-09-02T12:51:27.633Z
happy,Great,2026-09-02,14:51:29,2026-09-02T12:51:29.270Z
happy,Great,2026-09-02,14:51:45,2026-09-02T12:51:45.302Z
happy,Great,2026-09-02,15:07:44,2026-09-02T13:07:44.395Z
happy,Great,2026-09-02,15:13:29,2026-09-02T13:13:29.741Z
happy,Great,2026-09-02,15:13:34,2026-09-02T13:13:34.724Z
happy,Great,2026-09-02,15:13:39,2026-09-02T13:13:39.662Z
happy,Great,2026-09-02,15:15:49,2026-09-02T13:15:49.050Z
happy,Great,2026-09-02,15:15:53,2026-09-02T13:15:53.873Z
happy,Great,2026-09-02,15:19:29,2026-09-02T13:19:29.443Z
happy,Great,2026-09-02,15:19:30,2026-09-02T13:19:30.849Z
happy,Great,2026-09-02,15:23:12,2026-09-02T13:23:12.491Z
happy,Great,2026-09-02,15:23:20,2026-09-02T13:23:20.120Z
happy,Great,2026-09-02,15:23:25,2026-09-02T13:23:25.073Z
happy,Great,2026-09-02,15:28:17,2026-09-02T13:28:17.436Z
happy,Great,2026-09-02,15:29:18,2026-09-02T13:29:18.526Z
happy,Great,2026-09-02,15:29:23,2026-09-02T13:29:23.367Z
happy,Great,2026-09-02,15:30:40,2026-09-02T13:30:40.640Z
happy,Great,2026-09-02,15:30:44,2026-09-02T13:30:44.451Z
happy,Great,2026-09-02,15:34:18,2026-09-02T13:34:18.266Z
